iterations,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
246,1.2370129167750583,0.004024912452885308,1.201933672187679,0.0029340018029868874
247,1.2366835382062418,0.004135128354932447,1.2014811059826667,0.0029554666179023824
248,1.2362974678346554,0.003948958654952192,1.2009949186102282,0.002977173694299965
249,1.2360209250484055,0.0038842028273441626,1.2005626038802952,0.0028904333989762778
250,1.2356312835447225,0.003918680108093349,1.200070513591286,0.00283923365304782
251,1.235280766008721,0.003955605526275821,1.199600312599293,0.0028017506610754452
252,1.235018423838787,0.0040447799950867344,1.1991505766712476,0.0027141942617177695
253,1.234731761791398,0.0041085305812832845,1.1987142060990252,0.0027346776760558806
254,1.2343673056650957,0.004270756447246202,1.1981572979798099,0.00279547858046288
255,1.2340302538400052,0.0042715330000646055,1.197680487332991,0.002712189218462086
256,1.233738517791829,0.0041732018618524545,1.1972737421772532,0.002699979551341966
257,1.2334325836228035,0.004242202267092006,1.1968910678582247,0.0026643004419977805
258,1.2330906905645995,0.004330341879855178,1.1963974405146707,0.0026953831173606485
259,1.2327706895383215,0.004371711695767011,1.1958631782517548,0.0027344798131544706
260,1.2323897317132217,0.004437905287821761,1.1953462245441415,0.0026099227316063417
261,1.232144813603906,0.004497915830186711,1.1949066555734964,0.0026609304413059646
262,1.2317640196900939,0.004439533255608993,1.1944655230788084,0.002574419584202962
263,1.2314236948750543,0.004473941984737838,1.1939640987674525,0.0025121072064827805
264,1.2311469042910004,0.004493429515316677,1.1934572323081898,0.002571525393857605
265,1.2308159709065065,0.004638582207473082,1.1929876853072074,0.002609130498492126
266,1.2304235975027693,0.004644308404168243,1.1924670183096777,0.0026461629298886588
267,1.2302064015160392,0.0047251818775566855,1.1919516955484244,0.002572655925918318
268,1.229807390011514,0.0046496741246115905,1.1914966259924464,0.0026836097713327264
269,1.2294208400461242,0.004551598041723862,1.1909860317411642,0.002632085408116719
270,1.2291658722748562,0.004590721157821871,1.1905077861141447,0.0027213889808301935
271,1.2288198022155143,0.004721401936601836,1.1900364109677843,0.0027964178839947696
272,1.228552649898064,0.004704080518823149,1.1895909159154938,0.0027908888733445543
273,1.2281564445190842,0.004694283615060668,1.1891730436187564,0.0027141553751631044
274,1.2279139785829238,0.004731811507088107,1.1887754331749558,0.002741852491960737
275,1.2276006681773803,0.004794893596394872,1.1883699734637942,0.002723790442695419
276,1.2272043799019017,0.004918064064640488,1.1878578783175975,0.0026676364376506255
277,1.2268825621450699,0.004899332330288327,1.1873973190641283,0.002703063407745203
278,1.226702821084317,0.0049045974614569,1.1868824614975064,0.002744920230400741
279,1.2263460287190155,0.004983907590369676,1.1864486562420056,0.0027317734910574537
280,1.2260893745576948,0.004986398433569538,1.1860299542357673,0.002719118858068519
281,1.225871642034328,0.005029217040763968,1.185606975217696,0.002695677995012756
282,1.2255427043191676,0.005023980593037671,1.1851370758238213,0.002729065172383268
